folder,n_total,n_sharp,n_medium,n_blurry,sharp_thresh,blur_thresh,mean_laplacian
10mm-borosilicate-1,71,18,35,18,232.02880167496397,225.6374930550043,225.51727119660012
10mm-borosilicate-2,71,18,35,18,234.30732624051404,226.15830544448244,228.71519236708244
10mm-borosilicate-tmx,28,7,14,7,131.63644058711992,116.09804827590682,123.48723212870702
14mm-borosilicate-1,70,18,34,18,221.54606907804867,200.10776474733672,210.03412402417734
14mm-borosilicate-2,68,17,34,17,227.5438199622693,199.03480928605381,213.4643075537492
20mm-borosilicate-1,71,18,35,18,240.12881163357378,221.54981936229564,229.025426561791
20mm-borosilicate-2,117,30,57,30,174.02038390393005,98.93163179865466,135.81310174750715
40mm,185,47,91,47,175.74121611312322,105.96701346410389,146.06354783923842
4mm-borosilicate,248,62,124,62,325.38471766017796,176.66756044623648,256.3700061070529
5mm-borosilicate,106,27,52,27,235.85320874901134,225.09130761469865,228.73139125241417
5mm-borosilicate-june2021,156,39,78,39,131.33148761960157,87.26865583497366,112.08950892914352
6mm-borosilicate-1,52,13,26,13,114.72372914636142,86.15995348635336,263.0379074403408
6mm-borosilicate-2,58,15,28,15,957.9939053148889,165.40765157719164,591.358946754284
6mm-borosilicate-22g,110,28,54,28,146.30115525508268,115.14745845119864,129.74414195438985
6mm-borosilicate-22g-2,102,26,50,26,144.12488203106702,121.04109456956986,132.64497943296882
8mm-borosilicate-1,62,16,30,16,201.72715522118,173.60161632108836,187.25551314363233
8mm-borosilicate-2,53,14,25,14,189.09213639463206,164.4304131601254,175.29876949776883
